Department,JobLevel,JobRole,BusinessTravel,OverTime,PerformanceRating,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
Research & Development,1,Research Scientist,Travel_Frequently,Yes,3,2,4,3,3,5,1,0,0,0,0,0,Yes
Research & Development,1,Research Scientist,Non-Travel,No,3,1,3,4,3,3,6,2,0,0,0,0,No
Sales,2,Sales Executive,Travel_Frequently,No,3,3,2,2,3,2,5,5,0,0,0,0,No
Research & Development,5,Manager,Travel_Frequently,No,4,3,2,2,3,4,22,3,0,0,0,0,No
Research & Development,1,Research Scientist,Non-Travel,No,3,3,3,3,3,0,6,9,4,2,0,0,No
Research & Development,1,Laboratory Technician,Non-Travel,No,3,3,4,4,4,5,0,1,0,0,0,0,No
Research & Development,2,Laboratory Technician,Travel_Rarely,No,3,2,4,4,3,0,10,0,9,7,0,0,No
Sales,2,Sales Executive,Travel_Frequently,No,4,1,4,4,3,3,8,3,6,2,0,0,No
Research & Development,1,Research Scientist,Non-Travel,No,4,2,3,1,3,2,5,1,5,4,0,0,No
Research & Development,4,Research Director,Travel_Rarely,No,3,4,4,2,4,4,31,2,7,7,0,0,No
Sales,2,Sales Executive,Travel_Frequently,No,3,3,2,1,1,4,7,5,5,3,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Frequently,Yes,3,3,1,2,2,2,4,2,0,0,0,0,Yes
Research & Development,1,Laboratory Technician,Travel_Frequently,No,3,2,1,3,2,2,8,7,0,0,0,0,Yes
Research & Development,2,Healthcare Representative,Travel_Rarely,Yes,3,3,3,4,3,6,14,2,0,0,0,0,No
Research & Development,3,Manager,Travel_Rarely,No,4,3,4,3,4,5,10,2,5,2,0,0,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,4,1,1,2,2,5,6,0,5,3,0,0,No
Sales,1,Sales Representative,Travel_Frequently,Yes,3,3,4,2,4,2,0,1,0,0,0,0,Yes
Research & Development,4,Manager,Travel_Rarely,No,3,3,3,3,3,2,23,4,8,7,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,3,4,2,5,7,7,0,0,0,0,No
Sales,2,Sales Executive,Travel_Rarely,No,3,1,2,1,3,2,10,6,0,0,0,0,Yes
Sales,3,Sales Executive,Travel_Rarely,Yes,4,3,1,1,2,2,11,2,0,0,0,0,Yes
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,4,1,2,2,2,10,5,0,0,0,0,No
Research & Development,1,Research Scientist,Non-Travel,No,3,3,3,2,1,4,0,1,0,0,0,0,No
Sales,2,Sales Executive,Travel_Frequently,No,3,3,4,4,4,2,4,8,0,0,0,0,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,3,4,3,3,8,4,0,0,0,0,No
Sales,2,Sales Executive,Travel_Rarely,No,3,2,1,4,3,3,6,4,0,0,0,0,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,4,2,3,4,14,3,0,0,0,0,No
Sales,1,Sales Representative,Non-Travel,No,3,3,4,1,2,3,16,2,9,8,0,0,No
Sales,2,Sales Executive,Travel_Rarely,No,3,2,4,2,2,2,8,4,6,3,0,0,No
Sales,1,Sales Representative,Travel_Rarely,No,3,2,3,4,3,2,5,0,4,2,0,0,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,4,2,1,0,8,8,6,4,0,5,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,4,2,1,3,5,6,0,5,4,0,3,No
Research & Development,2,Laboratory Technician,Travel_Rarely,Yes,3,2,3,4,3,3,10,0,9,5,0,8,No
Sales,1,Sales Representative,Travel_Rarely,No,4,2,1,3,3,4,10,7,5,3,0,3,Yes
Sales,2,Sales Executive,Travel_Frequently,Yes,4,3,4,1,3,4,14,4,9,6,0,8,No
Research & Development,4,Manager,Travel_Rarely,Yes,3,3,3,4,3,2,21,2,5,0,0,2,No
Research & Development,1,Research Scientist,Travel_Rarely,No,4,3,2,3,3,3,6,0,5,4,0,4,No
Research & Development,3,Manufacturing Director,Travel_Rarely,No,3,1,4,4,2,3,37,4,6,4,0,2,No
Research & Development,3,Research Director,Travel_Rarely,No,3,3,3,1,1,5,16,9,4,3,0,3,No
Research & Development,5,Research Director,Travel_Frequently,Yes,3,3,2,1,2,1,28,3,8,3,0,7,No
Sales,2,Sales Executive,Non-Travel,No,3,3,2,3,4,2,8,0,7,7,0,7,No
Sales,3,Sales Executive,Travel_Rarely,Yes,3,3,3,3,3,2,12,3,9,7,0,7,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,3,1,1,4,2,10,7,5,4,0,4,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,3,2,2,9,5,6,5,0,3,No
Sales,2,Sales Executive,Travel_Frequently,No,3,1,4,4,4,2,9,0,8,7,0,7,No
Research & Development,2,Laboratory Technician,Travel_Rarely,No,3,3,2,2,1,2,20,8,17,9,0,15,No
Sales,2,Sales Executive,Travel_Rarely,No,4,2,4,1,4,2,12,4,8,3,0,7,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,1,3,4,3,9,4,5,4,0,3,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,3,4,2,4,0,3,1,0,2,No
Research & Development,2,Manufacturing Director,Travel_Rarely,Yes,3,2,3,2,3,1,8,3,1,0,0,1,Yes
Research & Development,2,Manufacturing Director,Non-Travel,No,3,3,3,3,3,5,11,2,5,3,0,2,No
Sales,2,Sales Executive,Travel_Frequently,No,3,2,1,3,2,5,9,5,6,3,0,1,Yes
Sales,5,Manager,Travel_Rarely,No,3,3,4,4,2,3,32,3,7,0,0,6,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,3,4,3,1,2,8,5,5,4,0,4,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,1,3,2,2,17,2,3,1,0,2,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,4,3,4,5,7,4,5,4,0,1,No
Research & Development,2,Laboratory Technician,Travel_Rarely,Yes,3,3,4,2,3,4,12,3,10,7,0,8,No
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,4,1,2,3,2,9,0,8,3,0,7,No
Research & Development,2,Laboratory Technician,Non-Travel,No,3,3,2,2,3,3,11,7,9,8,0,8,No
Research & Development,3,Research Director,Travel_Rarely,No,3,2,2,1,3,2,19,3,10,8,0,1,No
Research & Development,4,Healthcare Representative,Travel_Rarely,Yes,3,2,3,3,3,2,25,7,7,1,0,7,No
Research & Development,2,Research Scientist,Travel_Rarely,No,3,4,4,1,2,0,10,7,7,7,0,7,No
Sales,2,Sales Executive,Travel_Frequently,No,3,2,4,2,2,6,9,3,7,7,0,1,No
Research & Development,2,Research Scientist,Travel_Frequently,No,3,3,3,4,2,4,20,3,4,3,0,3,No
Sales,2,Sales Executive,Travel_Rarely,Yes,4,1,4,2,2,2,6,2,4,3,0,2,No
Research & Development,3,Manufacturing Director,Travel_Rarely,No,3,3,2,3,3,5,17,0,16,6,0,13,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,3,1,3,3,3,17,6,5,4,0,3,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,4,3,2,2,18,4,7,7,0,7,No
Research & Development,1,Research Scientist,Travel_Frequently,No,4,3,1,3,3,2,7,0,6,4,0,4,Yes
Research & Development,2,Manufacturing Director,Travel_Rarely,Yes,3,3,2,3,2,2,18,2,1,0,0,1,No
Research & Development,3,Manufacturing Director,Travel_Rarely,Yes,3,2,3,4,3,4,28,2,5,4,0,4,No
Research & Development,2,Research Scientist,Travel_Frequently,No,3,3,3,1,3,3,19,2,5,4,0,2,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,4,1,4,3,3,2,11,2,5,4,0,2,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,3,3,3,2,5,19,2,10,7,0,8,No
Research & Development,2,Healthcare Representative,Travel_Frequently,No,3,2,4,4,4,4,7,0,6,5,0,4,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,3,4,1,3,2,20,5,5,0,0,4,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,4,2,4,2,10,4,6,5,0,5,No
Research & Development,4,Research Director,Travel_Rarely,No,3,4,3,1,3,2,10,4,6,1,0,5,No
Sales,3,Manager,Travel_Rarely,No,4,2,4,3,2,3,10,9,5,4,0,1,No
Sales,3,Sales Executive,Non-Travel,No,3,1,1,3,3,2,20,3,1,0,0,1,No
