Month,Category,Budget,Actual,Savings
17 September 2021,Utilities,2930.49,2620.95,0
11 December 2022,Utilities,3269.85,5119.48,0
11 December 2022,Utilities,2817.27,3359.5,0
17 September 2021,Utilities,1918.56,4246.12,0
30 July 2019,Utilities,2741.46,3580.11,0
25 February 2020,Utilities,1760.02,2096.55,0
22 October 2020,Utilities,3102.03,3476.73,0
14 July 2022,Utilities,2936.41,3608.42,0
14 June 2022,Utilities,3256.78,3528.19,0
07 October 2023,Utilities,2978.05,3185.75,0
21 March 2021,Utilities,2976.92,4420.19,0
18 August 2021,Utilities,2301.86,3125.37,0
21 December 2020,Utilities,2233.94,3520.19,0
07 October 2023,Utilities,3867.5,3760.08,0
27 December 2019,Utilities,3422.24,4232.77,0
15 January 2022,Utilities,2910.13,3396.81,0
20 January 2021,Utilities,3073.01,4084.01,0
09 July 2023,Utilities,2924.68,4492.34,0
30 July 2019,Utilities,2504.04,4077.64,0
21 March 2021,Utilities,3533.57,3182.21,0
16 November 2021,Utilities,3266.59,3552.34,0
29 August 2019,Utilities,2431.98,4186.89,0
22 October 2020,Utilities,3266.41,2944.61,0
09 June 2023,Utilities,2635.15,3526.43,0
26 January 2020,Utilities,3072.31,3993.77,0
19 July 2021,Utilities,2334.44,4383.92,0
10 January 2023,Utilities,1666.71,4052.87,0
09 July 2023,Utilities,2798.97,3883.78,0
10 April 2023,Utilities,1296.24,4770.88,0
26 March 2020,Utilities,2905.61,3937.16,0
23 August 2020,Utilities,3378.39,3113.9,0
09 February 2023,Utilities,2882.37,2157.26,0
11 March 2023,Utilities,2894.59,4349.94,0
07 October 2023,Utilities,2854.72,4335.72,0
26 January 2020,Insurance,1420.73,2707.86,0
12 October 2022,Insurance,2919.87,2901.92,0
25 May 2020,Insurance,2560.16,4254.45,0
18 August 2021,Insurance,2712.04,4716.8,0
01 April 2019,Insurance,2997.07,4457.39,0
28 September 2019,Insurance,2589.63,3487.53,0
23 August 2020,Insurance,3068.22,2649.57,0
11 March 2023,Insurance,2470.65,3378.15,0
09 July 2023,Insurance,3114.94,4018.3,0
22 October 2020,Insurance,2961.51,3857.04,0
19 February 2021,Insurance,3438.26,3622.3,0
24 June 2020,Insurance,2897.2,3639.95,0
09 February 2023,Insurance,2327.68,3614.9,0
21 November 2020,Insurance,3172,3768.77,0
30 July 2019,Insurance,3410.49,2851.6,0
28 October 2019,Insurance,2551.98,4354.28,0
14 February 2022,Insurance,2940.14,5019.91,0
28 September 2019,Insurance,3116.25,3344.48,0
21 December 2020,Insurance,2237.88,3800.43,0
18 August 2021,Insurance,3237.4,3272.5,0
17 October 2021,Insurance,2723.54,4417.86,0
15 May 2022,Insurance,2222.45,4223.08,0
12 September 2022,Insurance,2674.16,3471.92,0
11 March 2023,Insurance,3160.27,4385.36,0
31 January 2019,Insurance,2961.18,4707.09,0
23 August 2020,Insurance,2679.81,2384.17,0
20 May 2021,Insurance,2662.94,3150.82,0
21 November 2020,Insurance,3306.71,3863.16,0
10 January 2023,Insurance,2828.83,4148.24,0
01 January 2019,Insurance,2947.07,4674.74,0
16 November 2021,Insurance,3099.72,4108.15,0
14 February 2022,Insurance,3692.32,3296.65,0
19 February 2021,Insurance,3499.12,4475.84,0
14 July 2022,Insurance,2087.04,3628.07,0
21 March 2021,Insurance,3023.08,4083.06,0
10 May 2023,Insurance,2367.43,3711.58,0
24 July 2020,Insurance,3124.68,2501.32,0
18 August 2021,Insurance,3644.35,3996.49,0
15 April 2022,Insurance,2646.59,4250.09,0
10 May 2023,Insurance,3014.84,3548.7,0
18 August 2021,Insurance,2676.06,1948.39,0
09 July 2023,Insurance,2431.57,3300,0
06 November 2023,Insurance,2301.23,4527.52,0
25 February 2020,Insurance,3280.58,4038.07,0
23 August 2020,Insurance,3321.94,3282.15,0
07 September 2023,Insurance,2831.4,3568.26,0
10 January 2023,Insurance,2702.52,3830.76,0
30 June 2019,Insurance,3700.72,4210.65,0
30 July 2019,Insurance,2459.79,3821.97,0
27 December 2019,Insurance,3495.84,4042.22,0
17 September 2021,Insurance,2136.8,4942.26,0
10 January 2023,Insurance,2423.16,3729.62,0
09 June 2023,Insurance,3770.67,4362.03,0
21 November 2020,Insurance,3899.79,3130.58,0
09 July 2023,Insurance,2682.7,4639.18,0
28 October 2019,Insurance,3905.73,3980.38,0
20 May 2021,Insurance,2300.87,2790.32,0
28 September 2019,Insurance,2484.69,3221.73,0
16 December 2021,Insurance,2081.92,4184.22,0
25 May 2020,Insurance,2764.94,3059.31,0
16 March 2022,Insurance,3178.94,3564.12,0
10 April 2023,Insurance,1960.78,3249.69,0
21 November 2020,Insurance,3000.14,3894.69,0
12 October 2022,Insurance,2315.22,3989.72,0
25 May 2020,Insurance,2491.45,4399.11,0
12 September 2022,Insurance,3367.66,4245.07,0
21 December 2020,Insurance,2515.25,3719.96,0
16 November 2021,Insurance,3024.86,4646.84,0
30 July 2019,Insurance,3017.51,4403.14,0
27 November 2019,Insurance,2711.17,3667.78,0
25 April 2020,Insurance,3014.23,3635.21,0
19 February 2021,Insurance,2527.71,4569.64,0
01 May 2019,Insurance,3259.97,3876.57,0
28 September 2019,Insurance,2727.97,3556.06,0
26 January 2020,Insurance,2507.54,4721.74,0
22 October 2020,Insurance,3302.16,3876.58,0
26 March 2020,Dining Out,2896.61,4614.09,0
25 May 2020,Dining Out,3904.13,2764.11,0
16 November 2021,Dining Out,2581.05,4704.11,0
06 November 2023,Dining Out,3016.99,5853.2,0
10 May 2023,Dining Out,2511.34,3094.28,0
06 November 2023,Dining Out,2686.9,3902.53,0
01 January 2019,Dining Out,2381.32,3771.22,0
15 May 2022,Dining Out,2806.41,3932.68,0
11 November 2022,Dining Out,2043.34,2494.31,0
27 November 2019,Dining Out,2632,3794.76,0
23 August 2020,Dining Out,3477.9,4840.09,0
07 October 2023,Dining Out,3017.97,4700.46,0
30 July 2019,Dining Out,3418.93,3342.94,0
29 August 2019,Dining Out,2433.2,4065.73,0
28 September 2019,Dining Out,3079.28,3842.72,0
10 April 2023,Dining Out,2069,3200.5,0
01 May 2019,Dining Out,4101.56,4280.9,0
15 April 2022,Dining Out,2585.77,3700.17,0
25 February 2020,Dining Out,1966.21,4108.62,0
22 October 2020,Dining Out,2732.69,3495.46,0
20 April 2021,Dining Out,2082.23,3228.69,0
14 February 2022,Dining Out,2906.75,3479.84,0
10 January 2023,Dining Out,2738.91,3990.86,0
27 November 2019,Dining Out,2724.38,4153.67,0
25 May 2020,Dining Out,2769.08,4953.48,0
22 October 2020,Dining Out,2337.13,3458.14,0
20 January 2021,Dining Out,2610.94,3683.59,0
19 June 2021,Dining Out,2302.62,2592.84,0
19 February 2021,Dining Out,3488.37,3194.35,0
12 September 2022,Dining Out,2657.7,3713.18,0
28 October 2019,Dining Out,3040.04,3451.1,0
27 November 2019,Dining Out,2849.9,3446.95,0
24 July 2020,Dining Out,2498.93,4244.68,0
29 August 2019,Dining Out,2931.08,3993.16,0
09 July 2023,Dining Out,2428.25,4373.61,0
31 January 2019,Dining Out,3184.25,3742.27,0
20 January 2021,Dining Out,3702.63,3482.94,0
02 March 2019,Dining Out,3243.02,4744.72,0
28 October 2019,Dining Out,2884.88,3426.8,0
09 February 2023,Dining Out,3860.91,3055.04,0
21 March 2021,Dining Out,3278.37,3744.9,0
30 July 2019,Dining Out,2830.46,4495.05,0
17 October 2021,Dining Out,3043.58,3312.21,0
16 November 2021,Dining Out,3085.71,3300.72,0
11 November 2022,Dining Out,3392.41,3548.21,0
10 April 2023,Dining Out,3486.67,3569.25,0
01 May 2019,Dining Out,2671.84,2609.7,0
14 July 2022,Dining Out,2694.47,3430.4,0
13 August 2022,Dining Out,2758.61,3819.23,0
28 September 2019,Dining Out,3863.29,4718.17,0
26 March 2020,Dining Out,3037.3,2323.98,0
16 November 2021,Dining Out,3236.71,4714.95,0
16 March 2022,Dining Out,3078.71,2523.27,0
27 November 2019,Dining Out,2908.77,2852.04,0
19 February 2021,Dining Out,2518.78,3915.82,0
23 August 2020,Dining Out,3060.24,3712.21,0
25 May 2020,Dining Out,2689.16,4270.29,0
20 May 2021,Dining Out,2382.24,2498.8,0
19 July 2021,Dining Out,3142.04,4285.87,0
01 May 2019,Dining Out,3652.69,3189.69,0
25 May 2020,Dining Out,2916.39,4177.55,0
19 June 2021,Dining Out,2773.09,3840.06,0
11 March 2023,Dining Out,2897.89,4137.55,0
16 December 2021,Dining Out,2161.4,3041.88,0
17 September 2021,Dining Out,2409.78,4505.31,0
09 July 2023,Dining Out,2836.7,4136.58,0
29 August 2019,Dining Out,3066.87,3850.24,0
15 May 2022,Dining Out,2764.81,4185.8,0
14 June 2022,Dining Out,2581.55,4137.86,0
16 December 2021,Dining Out,2506.21,4136.18,0
20 May 2021,Dining Out,3074.57,3005.39,0
15 April 2022,Dining Out,2430.62,4466.05,0
16 December 2021,Dining Out,3148.11,3012.86,0
12 September 2022,Groceries,3562.7,4491.63,0
16 December 2021,Groceries,3004.2,3431.58,0
16 November 2021,Groceries,2501.65,3557.36,0
11 December 2022,Groceries,2105.37,4059.59,0
21 December 2020,Groceries,2365.41,3711.48,0
19 June 2021,Groceries,3199.38,3154.76,0
21 March 2021,Groceries,2599.05,3685.62,0
10 January 2023,Groceries,3262.63,3653.49,0
08 August 2023,Groceries,3901.15,1329.43,0
01 April 2019,Groceries,2985.72,5430.47,0
27 December 2019,Groceries,2460.57,4604.97,0
26 March 2020,Groceries,2851.26,3791.53,0
21 December 2020,Groceries,2754.26,3243.98,0
18 August 2021,Groceries,2915.28,3389.31,0
20 April 2021,Groceries,2767.98,3324.07,0
20 January 2021,Groceries,2399.12,2783.72,0
11 March 2023,Groceries,3635.04,3333.79,0
06 November 2023,Groceries,3244.4,3728.75,0
14 July 2022,Groceries,2722.67,3242.61,0
10 April 2023,Groceries,4184.02,3685.67,0
14 June 2022,Groceries,3031.53,4264.46,0
13 August 2022,Groceries,2468.9,4421.55,0
17 September 2021,Groceries,3043.75,4130.36,0
01 January 2019,Groceries,3268.06,4736.83,0
01 April 2019,Groceries,2623.71,3736.31,0
20 April 2021,Groceries,2101.46,2332.49,0
02 March 2019,Groceries,2828.91,3351.54,0
22 September 2020,Groceries,3501.48,4702.81,0
01 April 2019,Groceries,2638.09,3320.75,0
31 May 2019,Groceries,2757.7,4189.15,0
19 February 2021,Groceries,2866.05,4279.01,0
12 October 2022,Groceries,3146.13,3305.56,0
20 January 2021,Groceries,2864.37,2960.71,0
10 May 2023,Groceries,2777.53,3498.06,0
16 December 2021,Groceries,3015.67,4862.61,0
14 June 2022,Groceries,2855.23,3468.18,0
08 August 2023,Groceries,2636.77,3461.29,0
31 May 2019,Groceries,2238.55,3902.33,0
22 October 2020,Groceries,2962.75,3492.61,0
01 April 2019,Groceries,2026.98,3776.16,0
15 January 2022,Groceries,3370.48,4773.28,0
16 December 2021,Groceries,1940.86,3582.43,0
25 February 2020,Groceries,2297.71,2956.95,0
22 October 2020,Groceries,2986.8,2324.86,0
19 July 2021,Groceries,4056.42,4915.78,0
15 May 2022,Groceries,2636.51,3380.14,0
09 July 2023,Groceries,2963.34,4034.21,0
28 October 2019,Groceries,2376.57,4792.55,0
11 November 2022,Groceries,2907.94,4290.89,0
13 August 2022,Groceries,2679.08,4011.93,0
28 October 2019,Groceries,3183.14,2099.66,0
22 September 2020,Groceries,2439.14,4162.83,0
14 July 2022,Groceries,3109.74,2922.42,0
23 August 2020,Groceries,2491.64,3825.93,0
08 August 2023,Groceries,2721.8,4694.23,0
31 January 2019,Groceries,2619.63,4313,0
07 September 2023,Groceries,2677.72,3374.24,0
11 November 2022,Groceries,2831.13,4083.54,0
25 April 2020,Groceries,2613.46,3536.74,0
16 November 2021,Groceries,3272.08,4826.88,0
30 June 2019,Groceries,2237.13,3559.36,0
11 November 2022,Groceries,2722.37,3909.6,0
25 May 2020,Groceries,2950.47,3593.51,0
28 October 2019,Groceries,3054.99,4323.02,0
13 August 2022,Groceries,2247.47,3491.33,0
12 October 2022,Groceries,2924.95,3988.9,0
08 August 2023,Groceries,3478.9,2662.64,0
25 May 2020,Groceries,2857.97,4323.12,0
01 April 2019,Groceries,3043.21,3808.02,0
14 June 2022,Groceries,3175.2,3665.56,0
20 January 2021,Groceries,2932.3,3542.05,0
19 June 2021,Groceries,3457.13,4179.37,0
27 November 2019,Entertainment,2685.16,3444.29,0
19 June 2021,Entertainment,2749.02,4000.56,0
09 February 2023,Entertainment,2178.54,4409.87,0
19 July 2021,Entertainment,3392.67,4145.59,0
28 October 2019,Entertainment,2748.72,4435.95,0
11 March 2023,Entertainment,3883.44,3340.16,0
17 October 2021,Entertainment,2089.53,4972.57,0
16 March 2022,Entertainment,3305.09,4684.11,0
31 January 2019,Entertainment,2019.2,3121.64,0
17 October 2021,Entertainment,2220,4365.72,0
14 July 2022,Entertainment,2877.84,3040.38,0
11 December 2022,Entertainment,3649.06,3743.66,0
25 April 2020,Entertainment,2932.96,3499.35,0
23 August 2020,Entertainment,2761.45,3821.01,0
16 December 2021,Entertainment,2338.74,2667.42,0
14 July 2022,Entertainment,2508.7,3346.14,0
10 April 2023,Entertainment,3438.33,3164.4,0
20 January 2021,Entertainment,2859.9,4821.02,0
11 March 2023,Entertainment,2128.04,2869.52,0
02 March 2019,Entertainment,2814.4,3512.01,0
07 October 2023,Entertainment,2782.88,3726.2,0
28 October 2019,Entertainment,2727.75,3514.78,0
24 July 2020,Entertainment,2647.89,3131.74,0
31 May 2019,Entertainment,3209.61,4510.74,0
15 January 2022,Entertainment,2739.26,3415.61,0
22 October 2020,Entertainment,2713.04,3799.43,0
18 August 2021,Entertainment,3077.25,4967.23,0
17 September 2021,Entertainment,3783.45,2710.95,0
15 April 2022,Entertainment,3347,2782.97,0
19 July 2021,Entertainment,2995.36,3695.42,0
28 September 2019,Entertainment,3519.54,2666.67,0
27 December 2019,Entertainment,2670.61,3373.17,0
15 January 2022,Entertainment,2779.88,4149.26,0
25 April 2020,Entertainment,3390.91,4282.76,0
15 April 2022,Entertainment,2893.48,4765.88,0
18 August 2021,Entertainment,2903.44,3752.83,0
21 March 2021,Entertainment,3405.03,4767.37,0
19 July 2021,Entertainment,2439.22,3643.42,0
15 January 2022,Entertainment,3790.92,4311.9,0
15 April 2022,Entertainment,2682.67,3968.01,0
06 November 2023,Entertainment,2442.02,4801.39,0
11 November 2022,Entertainment,2952.5,4562.28,0
08 August 2023,Entertainment,2906.09,3496.97,0
20 April 2021,Entertainment,3028.94,2756.73,0
08 August 2023,Entertainment,2995.5,2972.23,0
30 July 2019,Entertainment,3395.31,3141.11,0
18 August 2021,Entertainment,2815.68,2985.7,0
12 October 2022,Entertainment,2692.4,4273.15,0
08 August 2023,Entertainment,2808.24,4802.08,0
24 June 2020,Entertainment,2837.67,3861.52,0
20 January 2021,Entertainment,3182.65,3709.72,0
15 April 2022,Entertainment,3112.6,4292.35,0
28 October 2019,Entertainment,1791.06,3920.06,0
20 May 2021,Entertainment,2773.58,2936.03,0
12 October 2022,Entertainment,3110.87,3373.13,0
16 March 2022,Entertainment,2261.35,2313.79,0
15 May 2022,Entertainment,2843.81,3605.77,0
30 June 2019,Entertainment,2956.73,5106.9,0
21 December 2020,Entertainment,2516.77,2939.4,0
07 September 2023,Entertainment,3636.33,3629.29,0
07 October 2023,Entertainment,3126.13,3813.3,0
01 May 2019,Entertainment,3025.18,3265.47,0
25 April 2020,Entertainment,2092.26,2913.53,0
08 August 2023,Entertainment,2682.99,5685.18,0
01 January 2019,Investments,3676.11,3212.07,0
31 January 2019,Investments,2607.17,3732.81,0
02 March 2019,Healthcare,3004.14,3335.58,0
15 May 2022,Transportation,3058.63,4154.43,0
12 September 2022,Education,3450.97,3577.86,0
09 February 2023,Education,3043.73,3409.64,0
31 May 2019,Transportation,1905.94,4699.43,0
22 September 2020,Investments,3479.97,4408.99,0
17 October 2021,Rent,3533.22,5011.59,0
12 October 2022,Investments,3408.13,2611.7,0
28 September 2019,Transportation,1868.91,2468.21,0
25 February 2020,Education,1874.76,4182.38,0
25 April 2020,Healthcare,3028.27,4857.85,0
25 May 2020,Education,2660.26,2864.59,0
23 August 2020,Rent,3228.37,2944.6,0
14 February 2022,Investments,3072.32,3828.39,0
11 December 2022,Healthcare,3107.88,4850.38,0
10 January 2023,Rent,3023.22,3478.14,0
11 March 2023,Investments,3356.31,3557.14,0
07 October 2023,Transportation,3273.4,3393.73,0
01 January 2019,Transportation,2856.34,3350.56,0
25 May 2020,Education,3192.45,4528.08,0
20 January 2021,Transportation,3060.09,4009.84,0
15 January 2022,Education,2976.24,3926.52,0
07 October 2023,Healthcare,2229.49,3598.26,0
30 June 2019,Transportation,2883.64,3733.93,0
25 April 2020,Education,2734.71,3878.12,0
22 September 2020,Transportation,3101.58,4356.16,0
10 May 2023,Education,2774.66,3440.24,0
09 June 2023,Education,2014.06,3288,0
25 February 2020,Rent,2581.18,3418.06,0
25 May 2020,Healthcare,3336.25,4078.75,0
20 May 2021,Rent,3929.76,2812.86,0
14 June 2022,Rent,3734.75,3957.68,0
14 July 2022,Investments,2300.1,3338.23,0
10 April 2023,Education,2555.16,3796.62,0
10 May 2023,Rent,2571.33,3326.55,0
26 March 2020,Investments,2294.64,3294.84,0
21 December 2020,Investments,2672.23,4025.71,0
21 March 2021,Education,2206.97,3322.15,0
20 April 2021,Transportation,2176.18,4470.87,0
10 April 2023,Rent,2931.15,4304.22,0
07 September 2023,Transportation,2968.81,3667.31,0
01 April 2019,Healthcare,2109.71,3726.19,0
01 May 2019,Education,3493.07,3518.16,0
31 May 2019,Healthcare,3378.62,2085.66,0
28 October 2019,Transportation,2765,4255.47,0
22 September 2020,Education,2600.89,4723.76,0
15 May 2022,Education,3190.36,4233.83,0
31 May 2019,Rent,2325.85,2648.09,0
30 June 2019,Investments,2838.1,3246.62,0
24 July 2020,Transportation,2933.23,3692.79,0
19 July 2021,Rent,3072.07,3992.41,0
12 October 2022,Transportation,1875.27,4461.07,0
09 July 2023,Education,3050.65,2401.41,0
25 April 2020,Investments,2709.64,3348.88,0
20 April 2021,Education,2857.71,2455.96,0
17 October 2021,Transportation,2505.38,3482.58,0
16 March 2022,Education,3063.59,4297.49,0
15 April 2022,Education,2962.44,3344.52,0
14 July 2022,Rent,2939.23,3321.05,0
13 August 2022,Transportation,2648.14,4486.83,0
27 November 2019,Education,2604.13,3472.7,0
19 February 2021,Rent,2742.87,4621.18,0
21 March 2021,Investments,2366.75,3737.79,0
20 May 2021,Healthcare,3051.1,2352.66,0
16 March 2022,Rent,3096.48,3208.66,0
15 May 2022,Rent,2562.68,3570.34,0
01 January 2019,Transportation,2565.96,2912.34,0
01 April 2019,Transportation,2872.22,3902.95,0
30 June 2019,Rent,3665.33,3770.92,0
20 May 2021,Healthcare,2876.22,5136.07,0
18 August 2021,Rent,2892.15,3912.42,0
12 October 2022,Rent,2957.58,3327.54,0
09 June 2023,Healthcare,2981.45,3477.78,0
30 June 2019,Education,3077.87,4214.66,0
29 August 2019,Rent,4144.82,4386.39,0
27 November 2019,Transportation,2881.28,4113.42,0
24 June 2020,Education,2382.64,2888.16,0
19 July 2021,Education,3460.36,3107.77,0
16 March 2022,Transportation,2359.19,3925.75,0
15 April 2022,Investments,2900.92,3510.42,0
10 May 2023,Education,1957.95,3461.23,0
01 January 2019,Transportation,3158.17,3047.28,0
01 May 2019,Rent,2273.57,5042.29,0
27 November 2019,Rent,2492.97,4567.62,0
19 July 2021,Rent,3140.44,3164.98,0
11 December 2022,Transportation,2199.02,3345.67,0
07 October 2023,Transportation,2403.04,3690.77,0
31 January 2019,Transportation,2428.01,4097.17,0
25 April 2020,Rent,2756.68,3962.61,0
20 April 2021,Healthcare,2678.1,3373.54,0
17 September 2021,Healthcare,3042.14,4290.52,0
10 May 2023,Rent,2056.66,4790.33,0
18 August 2021,Transportation,3411.93,3395.71,0
16 March 2022,Transportation,2694.91,3856.75,0
10 January 2023,Investments,2342,3808.7,0
10 April 2023,Healthcare,1731.82,4559.61,0
22 September 2020,Healthcare,2999.49,3412.58,0
14 February 2022,Transportation,1458.28,3507.61,0
15 April 2022,Investments,3213.06,3448.11,0
14 July 2022,Investments,1802.11,3754.08,0
12 October 2022,Healthcare,3590.66,4105.88,0
07 September 2023,Healthcare,2155.54,4512.55,0
07 October 2023,Healthcare,2372.9,4285.42,0
31 January 2019,Rent,3228.48,3616.05,0
30 July 2019,Rent,3176.74,3945.06,0
28 September 2019,Rent,2493.17,3694.49,0
17 October 2021,Investments,2388.69,3863.84,0
15 January 2022,Transportation,2812.41,3056.73,0
14 February 2022,Healthcare,3239.8,3715.67,0
16 March 2022,Healthcare,2561.79,2596.83,0
09 July 2023,Transportation,2805.56,2933.36,0
27 December 2019,Healthcare,3384.32,4311.23,0
20 May 2021,Rent,2859.43,3410.53,0
13 August 2022,Investments,2812.04,3728.25,0
02 March 2019,Investments,3122.51,3881.34,0
27 December 2019,Rent,1719.16,3232.55,0
26 March 2020,Transportation,2640.98,3085.74,0
22 October 2020,Education,2227.46,3746.28,0
10 January 2023,Healthcare,2919.13,3377.14,0
10 April 2023,Investments,2255.14,2720.16,0
08 August 2023,Education,3705.39,4167.6,0
01 January 2019,Transportation,2558.6,4150.94,0
30 July 2019,Education,2744.19,4207.54,0
21 December 2020,Education,2956.95,3013.79,0
20 January 2021,Education,2929.58,3727.1,0
20 April 2021,Investments,2722.12,2535.24,0
01 May 2019,Rent,2456.47,2385.3,0
21 November 2020,Investments,3136.47,3306.49,0
19 July 2021,Rent,2509.44,3161.1,0
18 August 2021,Investments,3086.22,3983.64,0
12 September 2022,Healthcare,2959.83,2851.3,0
12 October 2022,Healthcare,3215.26,3662.26,0
11 December 2022,Rent,2512.59,3599.39,0
08 August 2023,Rent,2797.4,3224.88,0
16 November 2021,Investments,2542.16,4122.99,0
10 January 2023,Transportation,2169.1,3492.35,0
01 May 2019,Education,2854.82,4748.43,0
26 January 2020,Transportation,2727.01,4489.22,0
20 May 2021,Healthcare,2304.5,3366.3,0
16 November 2021,Transportation,3141.46,4226.29,0
16 December 2021,Rent,2816.46,4309.01,0
01 May 2019,Healthcare,2724.79,3117.18,0
19 February 2021,Education,2522.49,3749.68,0
18 August 2021,Healthcare,4201.34,3185.63,0
16 March 2022,Transportation,2577.3,3514.53,0
15 April 2022,Investments,2906.5,3057.77,0
14 June 2022,Education,1823.12,2999.27,0
14 July 2022,Investments,2883.34,3269.74,0
27 December 2019,Healthcare,2516.75,3451.51,0
21 March 2021,Healthcare,3195.72,3746.8,0
17 September 2021,Education,4121.1,3436.62,0
16 March 2022,Healthcare,2575.31,3417.82,0
13 August 2022,Healthcare,2572.96,3372.6,0
07 September 2023,Investments,3153.17,3034.93,0
31 January 2019,Healthcare,2759.26,3005.96,0
02 March 2019,Healthcare,2530.93,4081.71,0
01 April 2019,Education,3004.84,3264.14,0
31 May 2019,Transportation,3282.14,3270.89,0
27 November 2019,Investments,3065.33,3601.86,0
27 December 2019,Transportation,2990.21,3709.65,0
18 August 2021,Rent,3183.29,2988.99,0
14 February 2022,Healthcare,2433.38,4298.9,0
11 March 2023,Investments,3603.11,2793.71,0
31 May 2019,Healthcare,3031.39,2531.33,0
24 June 2020,Healthcare,3000.81,3335.29,0
20 April 2021,Education,1777.72,4760.54,0
02 March 2019,Education,3332.33,3741.42,0
21 December 2020,Transportation,2674.59,4880.48,0
17 October 2021,Transportation,2027.83,3858.22,0
16 December 2021,Investments,2168.44,3419.83,0
09 June 2023,Education,2967.22,3718.34,0
20 April 2021,Rent,2296.27,4030.72,0
20 May 2021,Education,2115.26,3116.78,0
15 January 2022,Transportation,3608.46,4130.9,0
11 March 2023,Transportation,2505.83,4704.47,0
26 January 2020,Healthcare,2523.44,3878.51,0
25 May 2020,Rent,2857.35,4744.34,0
20 May 2021,Investments,2527.42,2695.54,0
19 June 2021,Education,2987.48,3327.55,0
16 December 2021,Healthcare,3276.93,4225.71,0
10 January 2023,Investments,3311.15,3885.53,0
09 June 2023,Rent,3950.56,4093.23,0
22 September 2020,Transportation,2840.64,3467.34,0
21 December 2020,Transportation,2931.08,3122.66,0
21 March 2021,Rent,3313.67,3289.32,0
16 March 2022,Transportation,2782.8,4503.12,0
11 March 2023,Healthcare,3483.4,4333.5,0
02 March 2019,Transportation,2824.73,3621.6,0
24 June 2020,Investments,3156.8,3580.7,0
24 July 2020,Transportation,3317.84,4296.04,0
21 March 2021,Rent,3276,4156.88,0
27 December 2019,Education,2930.94,3801.96,0
15 January 2022,Education,2872.62,4228.26,0
13 August 2022,Education,3307.17,3294.04,0
09 June 2023,Education,2488.14,4029.34,0
24 June 2020,Healthcare,3481.84,3371.49,0
22 October 2020,Investments,2853.64,5605.38,0
21 December 2020,Investments,2656.08,3909.91,0
17 October 2021,Investments,2907.41,3922.94,0
16 November 2021,Healthcare,3115.84,4040.18,0
13 August 2022,Education,2289.99,2825.75,0
01 April 2019,Investments,2975.6,3471.34,0
19 July 2021,Education,2508.48,3022.7,0
17 September 2021,Transportation,2950.17,3693.57,0
15 April 2022,Transportation,2513.04,4142.07,0
12 October 2022,Rent,2160.65,2988.1,0
10 April 2023,Investments,3589.46,3443.3,0
29 August 2019,Investments,3388,3543.08,0
27 December 2019,Rent,3052.57,3596.26,0
20 January 2021,Investments,2104.1,3608.82,0
19 June 2021,Investments,2622.53,3279.76,0
09 February 2023,Education,3379.84,4247.81,0
08 August 2023,Rent,1764.11,3956.7,0
02 March 2019,Healthcare,3422.66,3741.47,0
